:+1:	👍
:cursing_face:	🤬
:custard:	🍮
:customs:	🛃
:cut_of_meat:	🥩
:cyclone:	🌀
:cyprus:	🇨🇾
:czech_republic:	🇨🇿
:dagger:	🗡
:dagger_knife:	🗡️
:dancer:	💃
:dancer_tone1:	💃🏻
:dancer_tone2:	💃🏼
:dancer_tone3:	💃🏽
:dancer_tone4:	💃🏾
:dancer_tone5:	💃🏿
:dancers:	👯‍♀️
:dancing_men:	👯‍♂️
:dancing_women:	👯‍♀️
:dango:	🍡
:dark_sunglasses:	🕶️
:dart:	🎯
:dash:	💨
:dashing_away:	💨
:date:	📅
:de:	🇩🇪
:deaf_man:	🧏‍♂️
:deaf_person:	🧏
:deaf_woman:	🧏‍♀️
:deciduous_tree:	🌳
:deer:	🦌
:delivery_truck:	🚚
:denmark:	🇩🇰
:department_store:	🏬
:derelict_house:	🏚
:derelict_house_building:	🏚️
:desert:	🏜️
:desert_island:	🏝️
:desktop:	🖥
:desktop_computer:	🖥️
:detective:	🕵
:detective_tone1:	🕵🏻
:detective_tone2:	🕵🏼
:detective_tone3:	🕵🏽
:detective_tone4:	🕵🏾
:detective_tone5:	🕵🏿
:diamond_shape_with_a_dot_inside:	💠
:diamond_suit:	♦
:diamond_with_a_dot:	💠
:diamonds:	♦️
:diego_garcia:	🇩🇬
:dim_button:	🔅
:disappointed:	😞
:disappointed_face:	😞
:disappointed_relieved:	😥
:disguised_face:	🥸
:divide:	➗
:dividers:	🗂
:diving_mask:	🤿
:diya_lamp:	🪔
:dizzy:	💫
:dizzy_face:	😵
:djibouti:	🇩🇯
:dna:	🧬
:do_not_litter:	🚯
:dodo:	🦤
:dog:	🐶
:dog2:	🐕
:dog_face:	🐶
:dollar:	💵
:dollar_banknote:	💵
:dolls:	🎎
:dolphin:	🐬
:dominica:	🇩🇲
:dominican_republic:	🇩🇴
:donkey:	🫏
:door:	🚪
:dotted_line_face:	🫥
:dotted_six-pointed_star:	🔯
:double_curly_loop:	➿
:double_exclamation_mark:	‼
:double_vertical_bar:	⏸️
:doughnut:	🍩
:dove:	🕊
:dove_of_peace:	🕊️
:down-left_arrow:	↙
:down-right_arrow:	↘
:down_arrow:	⬇
:downcast_face_with_sweat:	😓
:downwards_button:	🔽
:dragon:	🐉
:dragon_face:	🐲
:dress:	👗
:dromedary_camel:	🐪
:drooling_face:	🤤
:drop_of_blood:	🩸
:droplet:	💧
:drum:	🥁
:drum_with_drumsticks:	🥁
:duck:	🦆
:dumpling:	🥟
:dvd:	📀
:e-mail:	📧
:eagle:	🦅
:ear:	👂
:ear_of_corn:	🌽
:ear_of_rice:	🌾
:ear_tone1:	👂🏻
:ear_tone2:	👂🏼
:ear_tone3:	👂🏽
:ear_tone4:	👂🏾
:ear_tone5:	👂🏿
:ear_with_hearing_aid:	🦻
:earth_africa:	🌍
:earth_americas:	🌎
:earth_asia:	🌏
:ecuador:	🇪🇨
:egg:	🥚
:eggplant:	🍆
:egypt:	🇪🇬
:eight:	8️⃣
:eight-pointed_star:	✴
:eight-spoked_asterisk:	✳
:eight-thirty:	🕣
:eight_o’clock:	🕗
:eight_pointed_black_star:	✴️
:eight_spoked_asterisk:	✳️
:eject:	⏏️
:eject_button:	⏏
:el_salvador:	🇸🇻
:electric_plug:	🔌
:elephant:	🐘
:elevator:	🛗
:eleven-thirty:	🕦
:eleven_o’clock:	🕚
:elf:	🧝‍♂️
:elf_man:	🧝‍♂️
:elf_tone1:	🧝🏻
:elf_tone2:	🧝🏼
:elf_tone3:	🧝🏽
:elf_tone4:	🧝🏾
:elf_tone5:	🧝🏿
:elf_woman:	🧝‍♀️
:email:	✉️
:empty_nest:	🪹
:end:	🔚
:england:	🏴󠁧󠁢󠁥󠁮󠁧󠁿
:enraged_face:	😡
:envelope:	✉
:envelope_with_arrow:	📩
:equatorial_guinea:	🇬🇶
:eritrea:	🇪🇷
:es:	🇪🇸
:estonia:	🇪🇪
:ethiopia:	🇪🇹
:eu:	🇪🇺
:euro:	💶
:euro_banknote:	💶
:european_castle:	🏰
:european_post_office:	🏤
:european_union:	🇪🇺
:evergreen_tree:	🌲
:ewe:	🐑
:exclamation:	❗
:exclamation_question_mark:	⁉
:exploding_head:	🤯
:expressionless:	😑
:expressionless_face:	😑
:eye:	👁️
:eye-in-speech-bubble:	👁️‍🗨️
:eye_in_speech_bubble:	👁️‍🗨️
:eye_speech_bubble:	👁️‍🗨️
:eyeglasses:	👓
:eyes:	👀
:face_blowing_a_kiss:	😘
:face_exhaling:	😮‍💨
:face_holding_back_tears:	🥹
:face_in_clouds:	😶‍🌫️
:face_palm:	🤦
:face_savoring_food:	😋
:face_screaming_in_fear:	😱
:face_vomiting:	🤮
:face_with_cowboy_hat:	🤠
:face_with_crossed-out_eyes:	😵
:face_with_diagonal_mouth:	🫤
:face_with_hand_over_mouth:	🤭
:face_with_head-bandage:	🤕
:face_with_head_bandage:	🤕
:face_with_medical_mask:	😷
:face_with_monocle:	🧐
:face_with_open_eyes_and_hand_over_mouth:	🫢
:face_with_open_mouth:	😮
:face_with_peeking_eye:	🫣
:face_with_raised_eyebrow:	🤨
:face_with_rolling_eyes:	🙄
:face_with_spiral_eyes:	😵‍💫
:face_with_steam_from_nose:	😤
:face_with_symbols_on_mouth:	🤬
:face_with_symbols_over_mouth:	🤬
:face_with_tears_of_joy:	😂
:face_with_thermometer:	🤒
:face_with_tongue:	😛
:face_without_mouth:	😶
:facepalm:	🤦
:facepunch:	👊
:factory:	🏭
:factory_worker:	🧑‍🏭
:fairy:	🧚‍♀️
:fairy_man:	🧚‍♂️
:fairy_tone1:	🧚🏻
:fairy_tone2:	🧚🏼
:fairy_tone3:	🧚🏽
:fairy_tone4:	🧚🏾
:fairy_tone5:	🧚🏿
:fairy_woman:	🧚‍♀️
:falafel:	🧆
:falkland_islands:	🇫🇰
:fallen_leaf:	🍂
:family:	👨‍👩‍👦
:family_adult_adult_child:	🧑‍🧑‍🧒
:family_adult_adult_child_child:	🧑‍🧑‍🧒‍🧒
:family_adult_child:	🧑‍🧒
:family_adult_child_child:	🧑‍🧒‍🧒
:family_man_boy:	👨‍👦
:family_man_boy_boy:	👨‍👦‍👦
:family_man_girl:	👨‍👧
:family_man_girl_boy:	👨‍👧‍👦
:family_man_girl_girl:	👨‍👧‍👧
:family_man_man_boy:	👨‍👨‍👦
:family_man_man_boy_boy:	👨‍👨‍👦‍👦
:family_man_man_girl:	👨‍👨‍👧
:family_man_man_girl_boy:	👨‍👨‍👧‍👦
:family_man_man_girl_girl:	👨‍👨‍👧‍👧
:family_man_woman_boy:	👨‍👩‍👦
:family_man_woman_boy_boy:	👨‍👩‍👦‍👦
:family_man_woman_girl:	👨‍👩‍👧
:family_man_woman_girl_boy:	👨‍👩‍👧‍👦
:family_man_woman_girl_girl:	👨‍👩‍👧‍👧
:family_mmb:	👨‍👨‍👦
:family_mmbb:	👨‍👨‍👦‍👦
:family_mmg:	👨‍👨‍👧
:family_mmgb:	👨‍👨‍👧‍👦
:family_mmgg:	👨‍👨‍👧‍👧
:family_mwbb:	👨‍👩‍👦‍👦
:family_mwg:	👨‍👩‍👧
:family_mwgb:	👨‍👩‍👧‍👦
:family_mwgg:	👨‍👩‍👧‍👧
:family_woman_boy:	👩‍👦
:family_woman_boy_boy:	👩‍👦‍👦
:family_woman_girl:	👩‍👧
:family_woman_girl_boy:	👩‍👧‍👦
:family_woman_girl_girl:	👩‍👧‍👧
:family_woman_woman_boy:	👩‍👩‍👦
:family_woman_woman_boy_boy:	👩‍👩‍👦‍👦
:family_woman_woman_girl:	👩‍👩‍👧
:family_woman_woman_girl_boy:	👩‍👩‍👧‍👦
:family_woman_woman_girl_girl:	👩‍👩‍👧‍👧
:family_wwb:	👩‍👩‍👦
:family_wwbb:	👩‍👩‍👦‍👦
:family_wwg:	👩‍👩‍👧
:family_wwgb:	👩‍👩‍👧‍👦
:family_wwgg:	👩‍👩‍👧‍👧
:farmer:	🧑‍🌾
:faroe_islands:	🇫🇴
:fast-forward_button:	⏩
:fast_down_button:	⏬
:fast_forward:	⏩
:fast_reverse_button:	⏪
:fast_up_button:	⏫
:fax:	📠
:fax_machine:	📠
:fearful:	😨
:fearful_face:	😨
:feather:	🪶
:feet:	🐾
:female-artist:	👩‍🎨
:female-astronaut:	👩‍🚀
:female-construction-worker:	👷‍♀️
:female-cook:	👩‍🍳
